Ensembl_ID_base,gene_name,gene_type,log2FC_7043,log2FC_7078,log2FC_7083,log2FC_8004,log2FC_8013,mean_log2FC,median_log2FC,mean_expression
ENSG00000174370,C11orf45,protein_coding,-0.6382174971890717,-1.04169918666812,-3.92614611420067,-2.1445592314940374,-0.9636736767179488,-1.7428591412539696,-1.04169918666812,9.9054756276
ENSG00000132359,RAP1GAP2,protein_coding,-1.366537766779552,-0.8049336299500185,-3.0440318594017604,-2.2437380516946464,-1.2547798940861705,-1.7428042403824295,-1.366537766779552,61.42577891199999
ENSG00000154134,ROBO3,protein_coding,-1.2770488293330207,-1.8553357444661325,-1.483596995238552,-2.7085147750130902,-1.3563757731843715,-1.7361744234470335,-1.483596995238552,21.055104587733336
ENSG00000060982,BCAT1,protein_coding,-1.4705370836722693,-2.2818061404725576,-1.6308052366495254,-1.7077478155229695,-1.5389718861288149,-1.7259736324892274,-1.6308052366495254,3903.3245146
ENSG00000254023,PKMP4,processed_pseudogene,-0.40639741468227,-0.7492281908859875,-5.543737919139267,-1.3917012193446965,-0.5373782233921167,-1.725688593488868,-0.7492281908859875,27.94089131913334
ENSG00000247809,NR2F2-AS1,lncRNA,-1.3290387275789004,-1.7654648182063468,-1.6397634019265523,-1.7550842752028282,-2.136124232841366,-1.7250950911511989,-1.7550842752028282,16.620664173533335
ENSG00000128203,ASPHD2,protein_coding,-1.1166913933597122,-2.0888673072861943,-2.3882639175551135,-2.9378843479248395,-0.08663176985674781,-1.7236677471965216,-2.0888673072861943,58.65141667333333
ENSG00000261888,AC144831.1,lncRNA,-1.527917664731219,-3.0014828022874935,-1.4461084692046238,-0.9540454770010722,-1.6711346476635303,-1.7201378121775879,-1.527917664731219,27.855971422600003
ENSG00000134247,PTGFRN,protein_coding,-0.9469038974144226,-1.9667476510613966,-3.0742124714113475,-2.0435521911615275,-0.5470108395905395,-1.7156854101278465,-1.9667476510613966,372.07302781133336
ENSG00000160200,CBS,protein_coding,-2.3859211661346205,-1.3565961985561144,-0.36449703159396485,-2.1176902706514102,-2.2922225115071435,-1.7033854356886509,-2.1176902706514102,40.91599071339999
ENSG00000214193,SH3D21,protein_coding,-1.6748153725832209,-1.7705780949134713,-1.7591367842769117,-1.9720972826541745,-1.3245170986427457,-1.7002289266141049,-1.7591367842769117,93.59866421800001
ENSG00000135437,RDH5,protein_coding,-0.16645268747821174,-1.7587385168470915,-2.841783144799684,-1.9955603692756885,-1.7300288464784854,-1.6985127129758326,-1.7587385168470915,34.87029395993333
ENSG00000225774,SIRPAP1,processed_pseudogene,-0.8687158316385002,-0.07617216170957075,-4.604730274794081,-1.1404147815889494,-1.7911272614623073,-1.6962320622386815,-1.1404147815889494,25.7857733458
ENSG00000170421,KRT8,protein_coding,-1.0429685309880101,-2.54483290146604,-1.3283619314114619,-2.394263849900234,-1.1585429385291786,-1.6937940304589851,-1.3283619314114619,153.77692298133334
